clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
73,73,gaussian_25db,gaussian,2.904,,cv21_zh_dev100:63,zh,0.0073761854583772385,25,cv21_zh_dev100,0.0958904109589041
214,214,gaussian_25db,gaussian,8.544,,cv21_zh_dev100:64,zh,0.005751258087706685,25,cv21_zh_dev100,0.07476635514018691
108,108,gaussian_25db,gaussian,4.296,,cv21_zh_dev100:65,zh,0.009971509971509971,25,cv21_zh_dev100,0.12962962962962962
113,113,gaussian_25db,gaussian,4.512,,cv21_zh_dev100:66,zh,0.007488087134104833,25,cv21_zh_dev100,0.09734513274336283
174,174,gaussian_25db,gaussian,6.936,,cv21_zh_dev100:67,zh,0.009725906277630416,25,cv21_zh_dev100,0.12643678160919541
166,166,gaussian_25db,gaussian,6.624,,cv21_zh_dev100:68,zh,0.012511584800741427,25,cv21_zh_dev100,0.16265060240963855
100,100,gaussian_25db,gaussian,3.984,,cv21_zh_dev100:69,zh,0.01,25,cv21_zh_dev100,0.13
186,186,gaussian_25db,gaussian,7.416,,cv21_zh_dev100:70,zh,0.004549214226633582,25,cv21_zh_dev100,0.05913978494623656
174,174,gaussian_25db,gaussian,6.936,,cv21_zh_dev100:71,zh,0.01900972590627763,25,cv21_zh_dev100,0.2471264367816092
135,135,gaussian_25db,gaussian,5.376,,cv21_zh_dev100:72,zh,0.005128205128205128,25,cv21_zh_dev100,0.06666666666666667
223,223,gaussian_25db,gaussian,8.904,,cv21_zh_dev100:73,zh,0.011038289065194894,25,cv21_zh_dev100,0.14349775784753363
142,142,gaussian_25db,gaussian,5.664,,cv21_zh_dev100:74,zh,0.0065005417118093175,25,cv21_zh_dev100,0.08450704225352113
158,158,gaussian_25db,gaussian,6.312,,cv21_zh_dev100:75,zh,0.010223953261927944,25,cv21_zh_dev100,0.13291139240506328
189,189,gaussian_25db,gaussian,7.536,,cv21_zh_dev100:76,zh,0.003256003256003256,25,cv21_zh_dev100,0.042328042328042326
113,113,gaussian_25db,gaussian,4.5,,cv21_zh_dev100:77,zh,0.006126616746085773,25,cv21_zh_dev100,0.07964601769911504
151,151,gaussian_25db,gaussian,6.024,,cv21_zh_dev100:78,zh,0.007131940906775344,25,cv21_zh_dev100,0.09271523178807947
93,93,gaussian_25db,gaussian,3.696,,cv21_zh_dev100:79,zh,0.007444168734491315,25,cv21_zh_dev100,0.0967741935483871
53,53,gaussian_25db,gaussian,2.088,,cv21_zh_dev100:80,zh,0.023222060957910014,25,cv21_zh_dev100,0.3018867924528302
169,169,gaussian_25db,gaussian,6.744,,cv21_zh_dev100:81,zh,0.0036413290851160674,25,cv21_zh_dev100,0.047337278106508875
140,140,gaussian_25db,gaussian,5.58,,cv21_zh_dev100:82,zh,0.005494505494505494,25,cv21_zh_dev100,0.07142857142857142
141,141,gaussian_25db,gaussian,5.64,,cv21_zh_dev100:83,zh,0.00872885979268958,25,cv21_zh_dev100,0.11347517730496454
108,108,gaussian_25db,gaussian,4.296,,cv21_zh_dev100:84,zh,0.003561253561253561,25,cv21_zh_dev100,0.046296296296296294
102,102,gaussian_25db,gaussian,4.08,,cv21_zh_dev100:85,zh,0.007541478129713424,25,cv21_zh_dev100,0.09803921568627451
111,111,gaussian_25db,gaussian,4.428,,cv21_zh_dev100:86,zh,0.005544005544005544,25,cv21_zh_dev100,0.07207207207207207
